Eje,Estrategia,Actividad,Proceso,Producto,# Entregable333.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Acumulada Estudiantes,Evaluación Acumulada competencias socioemocionales,1) Base de datos con los resultados de la prueba acumulada aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Acumulada competencias socioemocionales,29-Nov-25,X,   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Acumulada Estudiantes,Evaluación Acumulada de competencias básicas: lenguaje,1) Base de datos con los resultados de la prueba acumulada aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Acumulada de competencias básicas: lenguaje,29-Nov-25,X,   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Acumulada Estudiantes,Evaluación Acumulada de competencias básicas: matemáticas,1) Base de datos con los resultados de la prueba acumulada aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Acumulada de competencias básicas: matemáticas,29-Nov-25,X,IES,Nombre Entregable,Fecha entrega,IES,Necesita Revisión?
Alistamiento, Conformar un equipo de trabajo ,"la relación del equipo de trabajo de la IES que se encargará de implementar el PTIES con sus respectivos roles, responsabilidades y copia de las hojas de vida."," Conformar un equipo de trabajo multidisciplinario que se encargará de adelantar todas las actividades a cargo 
de la IES a lo largo de la implementación del PTIES ","la relación del equipo de trabajo de la IES que se encargará de implementar el PTIES con sus respectivos roles, responsabilidades y copia de las hojas de vida.",Primer entregable,"Equipo de trabajo IES, roles y responsabilidades",8-Aug-25,X,
Alistamiento, Identificar los intereses y expectativas de los estudiantes,a) Estudiantes: Diagnóstico enfocado en identificar los intereses y expectativas de los estudiantes frente a la educación posmedia,Diagnóstico ,Documento y registro en base de datos,Segundo entregable,Diagnostico intereses y expectativas,1-Sep-25,X,
Alistamiento,Identificar recursos disponibles en la IEM," b) IEM :  Diagnóstico sobre los recursos disponibles en la IEM (cuerpo docente,  infraestructura para realizar actividades de nivelación de competencias y horarios de atención de la IEM), el PEI y las dinámicas pedagógicas, en las áreas de intervención del PTIES.",Diagnóstico ,Documento,Primer entregable,Diagnostico recursos disponibles IEM,8-Aug-25,X,X
Alistamiento,Caracterización de las familias y la comunidad,"c) Relación familia – escuela – comunidad: Caracterización de las familias y la comunidad,  utilizando datos sociodemográficos,  nivel de escolaridad de padres, madres o acudientes, necesidades y percepciones frente a la formación y las trayectorias de sus hijos o jóvenes a su cargo, entre otros.",Diagnóstico - caracterización,1) Un informe que dé cuenta de las actividades desarrolladas en el marco del plan de acción para el fortalecimiento de la relación familia – escuela – comunidad. ,Segundo entregable,"c) Relación familia – escuela – comunidad: Caracterización de las familias y la comunidad,  utilizando datos sociodemográficos,  nivel de escolaridad de padres, madres o acudientes, necesidades y percepciones frente a la formación y las trayectorias de sus hijos o jóvenes a su cargo, entre otros.",1-Sep-25,X,
Alistamiento,Diagnóstico de la dinámica regional," d) Contexto socioeconómico :  Documento de diagnóstico de la dinámica regional, las vocaciones y realidades de desarrollo social de los territorios, donde se implementarán los PTIES ",Diagnóstico,Documento,Segundo entregable," d) Contexto socioeconómico :  Documento de diagnóstico de la dinámica regional, las vocaciones y realidades de desarrollo social de los territorios, donde se implementarán los PTIES ",1-Sep-25,X,
Alistamiento, Socialización ,e) Socialización de diagnósticos y plan de trabajo  ," Socialización: Una vez culminados los diagnósticos y definido el plan de trabajo, la IES deberá socializarlos con la IEM y su comunidad educativa. Deberán convenir la versión final del plan de trabajo y los equipos de la IES y la IEM que se harán cargo de llevarlo a cabo. ",Informe y registro,Segundo entregable,e) Socialización de diagnósticos y plan de trabajo  ,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.1.    Diagnóstico,Diagnóstico de competencias básicas: matemáticas,Una evaluación diagnóstica en competencias matemáticas aplicada a estudiantes beneficiarios PTIES ,Segundo entregable,Diagnóstico de competencias básicas: matemáticas,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.1.    Diagnóstico,Diagnóstico de competencias básicas: lenguaje,Una evaluación diagnóstica en competencias lenguaje aplicada a estudiantes beneficiarios PTIES ,Segundo entregable,Diagnóstico de competencias básicas: lenguaje,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.1.    Diagnóstico,Diagnóstico de competencias socioemocionales,Una evaluación diagnóstica en competencias socioemocionales aplicada a estudiantes beneficiarios PTIES ,Segundo entregable,Diagnóstico de competencias socioemocionales,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.1.    Diagnóstico,Socializar los diagnósticos y plan de trabajo con comunidad educativa.,Informe de la actividad de socialización de diagnósticos y plan de trabajo IES  con registro de asistentes de la comunidad educativa ,Primer entregable (Plan de trabajo),Socializar los diagnósticos y plan de trabajo con comunidad educativa.,8-Aug-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.2. Ajuste a los planes de estudio,Ajuste a los planes de estudio grado 10,3) Planes de estudio ajustados para la implementación de la estrategia de desarrollo de aprendizajes y competencias grado 10,Tercer entregable,Ajuste a los planes de estudio grado 10,26-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.2. Ajuste a los planes de estudio,Ajuste a los planes de estudio grado 11,3) Planes de estudio ajustados para la implementación de la estrategia de desarrollo de aprendizajes y competencias grado 11,Tercer entregable,Ajuste a los planes de estudio grado 11,26-Sep-25,x,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.3   Ajuste/diseño y provisión de materiales de estudio,Socialización y entrega de materiales (físico - digital),"Jornada de socialización 
Materiales de estudio diseñados / adaptados. ",Tercer entregable,Socialización y entrega de materiales (físico - digital),26-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.4.    Fortalecimiento pedagógico del equipo docente,Ejecución del Plan de formación docente : ,"
5) Un informe parcial que dé cuenta de las actividades adelantadas con los docentes para el desarrollo de los aprendizajes y competencias de los estudiantes y la 
orientación socio-ocupacional, para el periodo acordado con la supervisión en el plan de trabajo. - Informe de formación docente con asistencia y evaluación de impacto",Segundo entregable,Ejecución del Plan de formación docente : ,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.4.    Fortalecimiento pedagógico del equipo docente,Ejecución del Plan de formación docente : ,2) Informe que dé cuenta del proceso de formación de los docentes para el periodo acordado con la supervisión en el plan de trabajo. ,Tercer entregable,Ejecución del Plan de formación docente : ,26-Sep-25,X,
